ZipCode,Pop15Plus,FTAFTPS100,WhiteNH,Black,Hisp,Asian,Other,povrate,Pov,PovPop,FTA100,FTP100,DUIFTAS100,IncK
95993,28467,1.60185480117798,52.9314645027576,2.39224365054273,14.339410545544,26.5008606456599,3.83602070808411,11.1675491333008,3100,27759,2.04798531532288,1.31028914451599,0.0456669144332409,64.0110015869141
90034,50475,1.60475480556488,41.4006934125805,9.2937097573056,27.0926201089648,18.5715700842001,3.64140653610229,16.9381828308105,8401,49598,2.3358097076416,0.542842984199524,0.0633977204561234,56.9459991455078
90020,33646,1.60494565963745,11.0027937942103,5.96801997265648,33.7751887297153,47.5866373417345,1.66736018657684,16.6211223602295,5535,33301,2.46983289718628,0.585507929325104,0.0980800166726112,38.5099983215332
92058,32750,1.60916030406952,48.5587786259542,7.45038167938931,33.1297709923664,6.02137404580153,4.83969449996948,11.7430639266968,3479,29626,1.95725190639496,1.03816795349121,0.0122137414291501,49.5209999084473
95128,29586,1.61224901676178,42.6113702426823,4.71168796052187,31.9137429865477,17.9206381396606,2.84256076812744,13.88014793396,3970,28602,0.895693898200989,2.0516459941864,0.0202798619866371,66.5329971313477
95119,8124,1.61250615119934,39.4387001477105,4.76366322008863,29.8375184638109,22.7227966518956,3.23732161521912,7.16890954971313,570,7951,0.713934004306793,2.03101921081543,0.0123092075809836,109.745002746582
95864,17794,1.61852312088013,80.9092952680679,1.32066988872654,9.39642576149264,4.71507249634708,3.65853667259216,7.33397722244263,1291,17603,1.71968078613281,1.79273915290833,0.050578847527504,79.7779998779297
95023,38250,1.62091505527496,39.3882352941176,1.40653594771242,54.8,2.69803921568627,1.70718955993652,10.4609022140503,3897,37253,1.98431372642517,2.42352938652039,0.0888888910412788,67.4810028076172
90036,31075,1.62188255786896,61.0587288817377,5.6379726468222,8.74336283185841,20.5341914722446,4.02574396133423,13.9490213394165,4285,30719,2.50040221214294,0.45695897936821,0.0418342724442482,71.588996887207
95503,20696,1.62350213527679,82.8855817549285,1.16930807885582,6.89022033243139,2.27580208735988,6.77908754348755,15.8697910308838,3203,20183,3.38229608535767,2.17433309555054,0.0193274058401585,47.5369987487793
95942,1107,1.62601625919342,90.5149051490515,0,0.632339656729901,0,8.85275554656982,9.57542896270752,106,1107,1.98735320568085,1.26467931270599,0,41.3230018615723
93103,17210,1.6269611120224,41.8187100522952,1.74317257408483,52.2486926205694,3.1144683323649,1.07495641708374,14.1834316253662,2397,16900,1.2899477481842,1.29575824737549,0.0639163255691528,67.0530014038086
95565,799,1.62703382968903,84.3554443053817,4.50563204005006,6.63329161451815,0,4.50563192367554,3.37922406196594,27,799,3.50438046455383,2.62828540802002,0,52.8530006408691
92880,48429,1.62712419033051,29.7074067191146,7.17751760308906,36.6557228107126,23.2608560986186,3.19849681854248,6.63890838623047,3157,47553,1.52181541919708,1.38346862792969,0.0764005035161972,100.452003479004
91962,1167,1.62810623645782,94.515852613539,0,3.42759211653813,0,2.05655527114868,5.35087728500366,61,1140,2.39931440353394,1.19965720176697,0,73.3330001831055
96064,3745,1.62883841991425,84.5393858477971,0.0534045393858478,6.5954606141522,1.04138851802403,7.77036046981812,15.5573596954346,575,3696,2.69692921638489,2.02937245368958,0.0267022699117661,41.939998626709
93532,2023,1.63124072551727,76.4211566979733,1.92782995551162,15.4226396440929,3.46020761245675,2.76816606521606,9.58829879760742,177,1846,2.27385067939758,0.939199209213257,0.049431536346674,62.6879997253418
94014,39647,1.63190150260925,10.5909652684945,2.7719625696774,32.1991575655157,52.5966655736878,1.84124898910522,9.30041599273682,3624,38966,1.67477989196777,1.7781925201416,0.0428784042596817,71.7389984130859
93657,27099,1.63474667072296,31.0564965496882,1.16240451677184,62.89161961696,3.66434185763312,1.22513747215271,17.8195724487305,4709,26426,3.57577776908875,1.77128303050995,0.129156053066254,47.7809982299805
95668,734,1.6348774433136,81.3351498637602,0.817438692098093,7.62942779291553,9.53678474114441,0.68119889497757,6.02240896224976,43,714,1.6348774433136,1.90735697746277,0.136239781975746,72.4219970703125
92386,1650,1.63636362552643,90.1212121212121,0,9.87878787878788,0,-0.0000000000000035527136788005,9.49367046356201,150,1580,2.24242424964905,2,0.060606062412262,33.4280014038086
92081,23647,1.63657128810883,66.1140948111811,5.36643125977925,21.2627394595509,5.00274876305662,2.25398564338684,15.5209074020386,3504,22576,1.73383510112762,1.18831145763397,0.0296020656824112,54.4480018615723
95628,34304,1.63829290866852,79.774953358209,1.53626399253731,10.7771688432836,4.3027052238806,3.60890865325928,9.60854053497314,3213,33439,1.98810636997223,1.85109603404999,0.0757929086685181,73.7200012207031
91602,15684,1.63861262798309,69.2935475643968,6.29941341494517,12.8729915837796,7.23667431777608,4.29737329483032,9.88968658447266,1542,15592,2.41647529602051,0.580209136009216,0.0191277731209993,66.6520004272461
95317,671,1.63934421539307,24.8882265275708,4.91803278688525,70.193740685544,0,0,14.4654092788696,92,636,2.38450074195862,0.745156466960907,0.149031296372414,34.7830009460449
92627,47883,1.63941276073456,53.885512603638,0.540901781425558,38.0009606749786,5.47793580185034,2.09468913078308,16.1156578063965,7580,47035,1.63314747810364,1.0066202878952,0.0898022279143333,58.1669998168945
92701,37994,1.64499652385712,7.2064010106859,1.12386166236774,87.305890403748,3.66373637942833,0.700110554695129,26.8759307861328,9932,36955,1.37126910686493,1.16597354412079,0.155287683010101,41.3310012817383
92311,25580,1.64581704139709,42.6035965598124,10.0742767787334,38.2994526974199,2.73260359655981,6.29007053375244,21.0374412536621,5175,24599,2.22439408302307,2.23612189292908,0.113369815051556,46.2789993286133
95624,47936,1.6501168012619,47.9013684913218,8.4591955941255,15.1222463284379,23.6774032042724,4.83978652954102,8.08671283721924,3749,46360,1.78988647460938,2.38442921638489,0.0375500693917274,77.6520004272461
96033,424,1.65094339847565,97.4056603773585,0,0.471698113207547,0,2.12264156341553,30.1886787414551,128,424,2.59433960914612,0.943396210670471,0.235849052667618,29.1350002288818
91935,6721,1.65153992176056,69.840797500372,2.39547686356197,23.5530427019789,0.699300699300699,3.51138234138489,9.208327293396,606,6581,1.96399343013763,1.57714629173279,0.0446362160146236,86.4059982299805
